contrast,lower_population,higher_population,metric,common_seed_count,common_seeds,mean_difference,ci_low,ci_high,analysis_status,analysis_watermark
n3_minus_n2,2,3,episode_return,3,"13100,13101,13102",7.394444439560175,1.5999999642372131,13.09999999900659,complete,
n3_minus_n2,2,3,team_unique_base_achievements,3,"13100,13101,13102",8.333333333333334,8.0,9.0,complete,
n3_minus_n2,2,3,team_unique_coord_achievements,3,"13100,13101,13102",0.6666666666666666,-1.0,3.0,complete,
n3_minus_n2,2,3,team_unique_total_achievements,3,"13100,13101,13102",9.0,7.0,11.0,complete,
n3_minus_n2,2,3,summed_agent_base_achievements,3,"13100,13101,13102",19.666666666666668,17.0,23.0,complete,
n3_minus_n2,2,3,summed_agent_coord_achievements,3,"13100,13101,13102",0.6666666666666666,-2.0,4.0,complete,
n3_minus_n2,2,3,summed_agent_total_achievements,3,"13100,13101,13102",20.333333333333332,15.0,23.0,complete,
n3_minus_n2,2,3,coordination_attempts,3,"13100,13101,13102",-1.6666666666666667,-24.0,10.0,complete,
n3_minus_n2,2,3,coordination_resolved_attempts,3,"13100,13101,13102",-1.0,-23.0,10.0,complete,
n3_minus_n2,2,3,coordination_successes,3,"13100,13101,13102",-2.0,-6.0,1.0,complete,
n3_minus_n2,2,3,give_attempts,3,"13100,13101,13102",2.6666666666666665,-3.0,9.0,complete,
n3_minus_n2,2,3,successful_transfers,3,"13100,13101,13102",2.6666666666666665,-3.0,9.0,complete,
n3_minus_n2,2,3,requests,3,"13100,13101,13102",4.333333333333333,-1.0,13.0,complete,
n3_minus_n2,2,3,revives,3,"13100,13101,13102",0.0,0.0,0.0,complete,
n3_minus_n2,2,3,deaths,3,"13100,13101,13102",1.3333333333333333,0.0,3.0,complete,
n3_minus_n2,2,3,action_parse_rate,3,"13100,13101,13102",-0.004658069111165619,-0.005715859030837045,-0.0031390977443609414,complete,
n3_minus_n2,2,3,action_parse_success,3,"13100,13101,13102",127.0,51.0,200.0,complete,
